,Ticker,Average RMSE,Average MAPE
57,BDX,10.622,0.052000000000000005
58,BEN,2.134,0.064
59,BG,5.5840000000000005,0.068
60,BIIB,37.352000000000004,0.11200000000000002
61,BIO,43.484,0.092
62,BK,2.5439999999999996,0.054000000000000006
63,BKNG,121.564,0.05800000000000001
64,BKR,3.1399999999999997,0.092
65,BLK,53.980000000000004,0.096
66,BMY,4.466,0.07
67,BR,8.366,0.086
68,BRO,2.304,0.054000000000000006
69,BSX,2.222,0.06799999999999999
70,BWA,3.332,0.074
71,BX,4.08,0.086
72,BXP,7.2299999999999995,0.06999999999999999
73,C,4.234,0.07
74,CAG,1.684,0.048
75,CAH,5.322,0.08399999999999999
76,CAT,11.114,0.074
77,CB,8.270000000000001,0.055999999999999994
78,CBOE,5.976,0.052000000000000005
79,CBRE,4.59,0.08
80,CCI,5.481999999999999,0.046
81,CCL,3.562,0.152
82,CDNS,6.22,0.074
83,CDW,7.3180000000000005,0.07799999999999999
84,CE,7.482000000000001,0.072
85,CF,9.98,0.19
86,CFG,2.5140000000000002,0.072
87,CHD,4.004,0.052000000000000005
88,CHRW,5.505999999999999,0.06
89,CHTR,55.124,0.124
90,CI,14.498,0.064
91,CINF,5.642,0.06799999999999999
92,CL,2.7779999999999996,0.036
93,CLX,9.006,0.057999999999999996
94,CMA,6.018,0.092
95,CMCSA,3.0119999999999996,0.08
96,CME,10.716,0.06599999999999999
97,CMG,120.78399999999999,0.13399999999999998
98,CMI,12.081999999999999,0.066
99,CMS,2.1499999999999995,0.048
100,CNC,6.276000000000001,0.094
101,CNP,1.614,0.062
102,COF,9.709999999999999,0.094
103,COO,17.89,0.06
104,COP,8.815999999999999,0.11599999999999999
105,COR,8.438,0.074
106,COST,19.426,0.062
107,CPB,3.194,0.064
108,CPRT,1.8239999999999998,0.098
109,CPT,5.385999999999999,0.054000000000000006
110,CRL,24.612000000000002,0.11200000000000002
111,CRM,16.836000000000002,0.096
112,CSCO,2.7540000000000004,0.064
113,CSGP,4.464,0.07600000000000001
114,CSX,1.506,0.06999999999999999
115,CTAS,16.424,0.082
116,CTLT,7.266,0.11200000000000002
117,CTRA,2.238,0.08
118,CTSH,4.38,0.064
119,CVS,5.788,0.068
120,CVX,10.946000000000002,0.08600000000000001
121,CZR,7.968000000000001,0.174
122,D,3.13,0.044
123,DAL,5.318,0.12400000000000003
124,DD,5.796,0.07999999999999999
125,DE,15.224,0.064
126,DFS,7.226000000000001,0.096
127,DG,8.786000000000001,0.05800000000000001
128,DGX,5.136,0.048
129,DHI,5.006,0.082
130,DHR,12.67,0.07400000000000001
131,DIS,11.02,0.09
132,DLR,7.784000000000001,0.078
133,DLTR,11.63,0.08199999999999999
134,DOV,7.534000000000001,0.07
135,DPZ,35.104,0.122
136,DRI,7.343999999999999,0.078
137,DTE,4.252000000000001,0.046
138,DUK,3.1239999999999997,0.038
139,DVA,9.896,0.10400000000000001
140,DVN,6.07,0.15
141,DXC,5.124,0.126
142,DXCM,9.264,0.156
143,EA,7.820000000000002,0.07399999999999998
144,EBAY,3.8520000000000003,0.082
145,ECL,10.446000000000002,0.064
146,ED,4.036,0.05
147,EFX,13.063999999999998,0.084
148,EG,12.945999999999998,0.054000000000000006
149,EIX,4.798,0.078
150,EL,14.466,0.078
151,ELV,22.976,0.076
152,EMN,5.804,0.062
153,EMR,5.11,0.066
154,ENPH,14.913999999999998,0.29600000000000004
155,EOG,11.724,0.12000000000000002
156,EPAM,36.742000000000004,0.136
157,EQIX,37.552,0.07
158,EQR,3.914,0.057999999999999996
159,EQT,4.298,0.11600000000000002
160,ES,2.902,0.048
161,ESS,15.616,0.066
162,ETN,6.644,0.064
163,ETR,4.16,0.041999999999999996
164,ETSY,18.43,0.236
165,EVRG,2.988,0.06200000000000001
166,EW,4.782000000000001,0.084
167,EXC,2.0140000000000002,0.05800000000000001
168,EXPD,4.816,0.054000000000000006
169,EXPE,14.065999999999999,0.12
170,EXR,6.981999999999999,0.068
171,F,0.898,0.06
172,FANG,16.336000000000002,0.192
173,FAST,2.694,0.074
174,FCX,2.724,0.10400000000000001
175,FDS,19.05,0.068
176,FDX,19.172,0.09
177,FE,1.802,0.048
