,Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Model Order
184,FFIV,0.321,0.4398613417885232,1.126,0.3877421823841197,"(1, 1, 0)"
185,FI,0.18180000000000002,0.09045750383467366,3.0948,1.7432221200982967,"(1, 1, 0)"
186,FICO,0.2152,0.17517008877088577,4.237399999999999,3.7645814428698445,"(0, 1, 0)"
187,FIS,0.13440000000000002,0.21415564433374154,3.3507999999999996,3.304081197549479,"(3, 1, 1)"
188,FITB,0.12840000000000001,0.17800516846428927,2.143,1.7205640935460673,"(1, 1, 1)"
189,FLT,0.07160000000000001,0.09138183626957821,2.4722,3.3548777265349035,"(3, 1, 1)"
190,FMC,0.348,0.39485237747796326,1.094,0.4078818456366991,"(2, 1, 0)"
191,FOX,0.033,0.009416297927883689,2.2306666666666666,1.012255676968796,"(1, 1, 2)"
192,FOXA,0.03466666666666667,0.011728408057172785,3.1809999999999996,1.231319888033433,"(0, 1, 1)"
193,FRT,0.06540000000000001,0.06076051349355106,1.5364,0.7788475075391845,"(0, 1, 2)"
194,FSLR,0.082,0.07359076028959072,2.3586,2.2531622755585095,"(0, 1, 1)"
195,FTNT,0.11280000000000001,0.1148832450795154,1.3958,0.8964298968686842,"(1, 0, 0)"
196,FTV,0.040749999999999995,0.036649522507121425,66.39925000000001,114.13063065271962,"(0, 1, 2)"
197,GD,0.11380000000000001,0.09089202385248113,1.6149999999999998,0.823973543264588,"(2, 1, 0)"
198,GE,0.08680000000000002,0.12420209338010371,1.948,1.7089710354479388,"(3, 1, 1)"
199,GEHC,0.172,0.0,4.839,0.0,"(0, 1, 0)"
200,GEN,0.0466,0.04277195342745057,1.141,0.726191159406392,"(1, 1, 1)"
201,GILD,0.1438,0.1272719922056695,2.4276000000000004,1.8599788816005411,"(1, 1, 1)"
202,GIS,0.4024,0.587128129116635,1.3270000000000002,1.0044510938816285,"(4, 1, 0)"
203,GL,0.0976,0.09088586248696767,2.318,2.5221393300133124,"(0, 1, 1)"
204,GLW,0.1478,0.1673229213228122,1.6854,1.8032421468011444,"(1, 0, 0)"
205,GM,0.0432,0.0344174374409252,1.3108,1.111438959187593,"(0, 1, 1)"
