Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Best Model
LNT,1.5846841576903978,0.87448213702042,0.0321749554107893,0.0127212668278687,<keras.src.engine.sequential.Sequential object at 0x7de708221d50>
LOW,5.111467362850638,2.88448811865532,0.0308823685917264,0.0080375213451165,<keras.src.engine.sequential.Sequential object at 0x7de6bf0cb310>
LRCX,15.68307645999524,12.234324616955009,0.0385174503933653,0.003109019454919,<keras.src.engine.sequential.Sequential object at 0x7de79c113550>
LUV,2.097325388826502,0.3643348055178476,0.0418615171377594,0.0124423474220154,<keras.src.engine.sequential.Sequential object at 0x7de6ca175000>
LVS,2.990084879841081,0.7767998944786652,0.0473865761628316,0.0154842961975344,<keras.src.engine.sequential.Sequential object at 0x7de7081f6d70>
LW,3.104921034836358,1.321721252235998,0.0379643951722874,0.0114147341310385,<keras.src.engine.sequential.Sequential object at 0x7de6f874ace0>
LYB,3.0533057294191863,0.8261108731748376,0.0349106029780244,0.0066963931074557,<keras.src.engine.sequential.Sequential object at 0x7de70066f610>
LYV,2.784814584600403,1.4837870069569192,0.037202396364206,0.0083820367285789,<keras.src.engine.sequential.Sequential object at 0x7de70846bd00>
MA,9.651809314950984,6.727212551033615,0.030652451830012,0.0108598806664403,<keras.src.engine.sequential.Sequential object at 0x7de7086c39a0>
MAA,3.7334557551471392,1.6184285791536737,0.0275609955528159,0.0067337129364027,<keras.src.engine.sequential.Sequential object at 0x7de6f868b4c0>
MAR,7.205051763914176,4.214770849543286,0.0519616089530073,0.0240954117137631,<keras.src.engine.sequential.Sequential object at 0x7de708456b60>
MAS,1.762923431301214,0.5595249702689893,0.0355731599200288,0.00844208427938,<keras.src.engine.sequential.Sequential object at 0x7de797f68d60>
MCD,3.643977070336234,1.9302703807350876,0.0168181604307893,0.0082886818335583,<keras.src.engine.sequential.Sequential object at 0x7de7001922c0>
MCHP,2.7179502523603447,1.6432021230126894,0.0427921342101109,0.0102342953947069,<keras.src.engine.sequential.Sequential object at 0x7de6ced030a0>
MCK,12.570824232471432,10.810582793696344,0.0427281242358327,0.0194937622978789,<keras.src.engine.sequential.Sequential object at 0x7de6cabac940>
MCO,6.78960347598871,4.520839430615222,0.0272818333748357,0.0132943926748613,<keras.src.engine.sequential.Sequential object at 0x7de6cae66f20>
MDLZ,1.840273834439236,0.6630505998058278,0.032761843784085,0.015485320475726,<keras.src.engine.sequential.Sequential object at 0x7de6ca9f6500>
MDT,2.808649475280351,0.9475908754610262,0.0277340269677894,0.0072495651575093,<keras.src.engine.sequential.Sequential object at 0x7de635b79570>
MET,1.898246738238796,0.9045045397807764,0.0337466670089498,0.0127566233636125,<keras.src.engine.sequential.Sequential object at 0x7de7101cbb20>
META,11.806708690207945,7.0141621067928215,0.0458664147362933,0.0142233079926743,<keras.src.engine.sequential.Sequential object at 0x7de6bcb0be50>
MGM,2.271300334665732,1.249661117508701,0.0576466454585426,0.0247862362732787,<keras.src.engine.sequential.Sequential object at 0x7de790136aa0>
