,n_estimators,max_depth,learning_rate,RMSE Avg.,RMSE Std.,MAPE Avg.,MAPE Std.,Accuracy
DXC,500,3,0.1,1.25831440887699,1.1988187580283602,0.030060965036653765,0.02806586073851265,0.6
EMN,100,4,0.2,1.5683054687388729,0.7711993678156804,0.021512006648446463,0.016114909271275023,0.4
ETN,100,3,0.3,2.1622291087301564,1.893844453339777,0.01752236263574201,0.013731460106893701,0.72
EBAY,50,3,0.1,1.0864727910353797,1.089649846035337,0.02024345717235603,0.01239388238548032,0.56
ECL,500,4,0.1,1.4133164349345493,0.560033024327726,0.007728057721057303,0.004891484396053608,0.72
EIX,50,4,0.2,0.7233392547791566,0.2698849131492393,0.010708998530053864,0.005844286161226379,0.6
EW,50,5,0.3,0.8797165409536454,0.44322301791613083,0.011692294742389786,0.003976624764584708,0.6
EA,200,3,0.3,1.4229870018477222,0.5125438568575852,0.012033664288253077,0.005908390713815356,0.68
ELV,50,5,0.2,3.5927487828162397,1.2402488423678544,0.012937551969197918,0.0060872541732661855,0.52
LLY,500,3,0.3,5.008307705302551,5.617395453588604,0.01851371529943503,0.008759610618784589,0.44
EMR,100,8,0.2,1.1606029217940113,0.6834224059109203,0.01994345776584071,0.019312222602248748,0.48
ENPH,100,4,0.3,2.3063238135535378,2.211442464584141,0.049152973668420044,0.03418694223826639,0.52
ETR,200,3,0.1,1.0825486391001227,0.4894711250458471,0.011690305292867539,0.007826513179459335,0.72
EOG,100,3,0.2,2.299304481949719,1.6974723604478426,0.03344044621908613,0.027411634167993155,0.6
EPAM,50,4,0.3,5.817134318823301,5.42341419165694,0.018348871787102896,0.007876757389921111,0.64
EQT,500,5,0.2,0.8768019450469012,0.6707617103860415,0.05114633745334481,0.06840581252772242,0.48
EFX,200,5,0.2,2.0362372360295655,0.5580668444194227,0.011883249022661536,0.006272440758612691,0.68
EQIX,200,4,0.2,10.15024649018112,3.148117228686677,0.02062021900060663,0.009452942744833485,0.6
EQR,50,8,0.3,0.7902841940708585,0.3789556095071773,0.01215185805989372,0.007223648243234365,0.6
ESS,200,8,0.1,3.2804745900807277,1.2590409656686774,0.013530082133510002,0.00773251838439846,0.48
EL,500,8,0.3,5.854860967858654,3.5251793259074633,0.02997267429816273,0.012466259572103214,0.52
ETSY,500,3,0.3,2.6967645022840045,1.5036847570341378,0.034200551294312334,0.013414967608324167,0.4
EG,100,5,0.1,3.985552315175242,0.9678345230024938,0.013663835775421282,0.004791532947176895,0.52
EVRG,200,8,0.1,0.4295988078451785,0.24330044067059461,0.009439454953588758,0.00921744553802848,0.56
ES,200,4,0.3,0.9535666498196683,0.31461114483336167,0.01466214876027241,0.005927513402754492,0.52
EXC,100,3,0.2,0.4314688897731317,0.16252587297329188,0.01362265350187827,0.006414027887016504,0.6
EXPE,50,3,0.1,2.887154094579897,1.350838007633134,0.019957986592655602,0.010762680159078677,0.64
EXPD,100,4,0.1,0.7185300517076778,0.28601537557730905,0.00915508637478806,0.005897596344144898,0.6
EXR,500,8,0.1,1.479274515609665,1.3983108010569938,0.01270936143373944,0.009733823993036624,0.64
XOM,100,3,0.3,1.216330755605513,0.8012361763714506,0.01599753415235369,0.01317536418280437,0.68
FFIV,50,3,0.2,2.2338765811396923,0.8115053418391754,0.013414077926419549,0.006011933266283001,0.64
FDS,100,3,0.1,4.4075397271265055,1.707594639016582,0.014139973607654621,0.004563635012389056,0.56
FICO,200,4,0.2,4.607799595831053,2.7183312755587967,0.012060578894000666,0.005608782944017889,0.64
FAST,100,3,0.2,0.4726634881465456,0.20733761675649953,0.017445471844246073,0.017342848278066834,0.52
FRT,50,3,0.1,1.424339918426027,0.8556278829854534,0.011952670015240655,0.007922124923441125,0.56
FDX,50,4,0.1,3.3578622921958194,1.5729505681510114,0.01783750509651297,0.012449596930948013,0.4
FITB,50,3,0.2,0.44729747060027253,0.15336152147719043,0.01728970006273774,0.010811802055135735,0.48
FSLR,500,3,0.1,1.5695672501840565,1.2234040900672398,0.013999085903873568,0.0033492905189432113,0.68
FE,50,8,0.2,0.29016288843202676,0.14122355622621993,0.00843912348004921,0.005827245707594823,0.56
FIS,100,8,0.2,1.4437782651946705,0.8024825181375737,0.014294630263291728,0.008120104927871075,0.68
FI,50,3,0.2,2.166451074824656,1.7056175988297275,0.021544036897091653,0.01586493658488882,0.48
FLT,100,3,0.2,3.1663907319242326,1.6053656891447612,0.01273226883239742,0.006644293829175343,0.56
FMC,500,3,0.1,1.3870655130477756,0.7283043551581528,0.02602746451767176,0.028730699546941317,0.56
F,50,3,0.1,0.14430101007696097,0.08764902124505705,0.012419362464936976,0.008003817670646908,0.68
FTNT,500,3,0.2,0.597566827239545,0.38307720284173474,0.018483373568491272,0.010329828981198975,0.56
FTV,500,4,0.2,1.116785969526852,0.21687203854408096,0.01450818855642702,0.0046839462399423624,0.72
FOXA,500,3,0.01,0.5433519558222326,0.1479950006428505,0.013496144897539841,0.005182971361792044,0.6
FOX,50,5,0.1,0.48852819516663465,0.1486393128367721,0.013885972721697542,0.006497616441749381,0.6
BEN,200,5,0.2,0.7528685420038924,0.41476067406764017,0.025463765014719798,0.01507507907511851,0.56
FCX,100,3,0.1,0.6955890161899198,0.3911803764149751,0.048647606209051494,0.049280631178023344,0.44
GRMN,100,3,0.1,2.143548742443931,2.235002971356807,0.024739508786573647,0.017345482415004422,0.4
IT,50,4,0.2,2.4146131196779983,1.379684664413048,0.012557364898994876,0.009474817322664801,0.44
GEHC,500,8,0.01,1.359106088701529,0.8100669864001542,0.015198108593036247,0.00941454010501181,0.56
GEN,50,5,0.1,0.16399981598489916,0.05082849888076535,0.009501360431231015,0.005791392869454353,0.72
GNRC,50,5,0.3,3.0205734234130883,2.4262628489040114,0.02338955024598008,0.005437988245305478,0.36
